OID_,GEOID,ALAND,AWATER,NAME,State,County,B01001_001E,B25002_001E,B25002_002E,B25002_003E,HOUSING_DENSITY,ADAPTIVE,DEVELOPMENT
1,36085000300,377461.000000000000000,2080565.000000000000000,Census Tract 3,New York,Richmond County,2187,1224,1087,137,3.242719115352315,5.4544621,18.8313255
2,36085000600,666769.000000000000000,2045497.000000000000000,Census Tract 6,New York,Richmond County,2484,1439,1309,130,2.158168721101311,10.5116396,33.9068832
3,36085000700,528114.000000000000000,605460.000000000000000,Census Tract 7,New York,Richmond County,4578,2203,1940,263,4.171447831339446,3.3374581,26.7031803
4,36085000800,799850.000000000000000,0.000000000000000,Census Tract 8,New York,Richmond County,5751,2196,1926,270,2.745514784022004,12.7836819,30.3047409
5,36085000900,231877.000000000000000,0.000000000000000,Census Tract 9,New York,Richmond County,1924,1006,740,266,4.338507053308435,2.3446746,30.3740463
6,36085001100,325090.000000000000000,0.000000000000000,Census Tract 11,New York,Richmond County,3106,1477,1102,375,4.543357224153311,2.3228700,35.4150429
7,36085001700,306005.000000000000000,0.000000000000000,Census Tract 17,New York,Richmond County,1543,663,582,81,2.166631264195030,3.7787735,16.4105568
8,36085001800,910163.000000000000000,1451608.000000000000000,Census Tract 18,New York,Richmond County,525,190,167,23,0.208753816624055,12.1144295,7.4141011
9,36085002001,512964.000000000000000,0.000000000000000,Census Tract 20.01,New York,Richmond County,2883,1513,1461,52,2.949524722982510,17.2322865,26.6315784
10,36085002002,771749.000000000000000,0.000000000000000,Census Tract 20.02,New York,Richmond County,3143,1364,1281,83,1.767414016733420,20.3014908,25.9240646
11,36085002100,864360.000000000000000,2017877.000000000000000,Census Tract 21,New York,Richmond County,4854,2298,1912,386,2.658614466194641,4.9262509,22.3054390
12,36085002700,250358.000000000000000,0.000000000000000,Census Tract 27,New York,Richmond County,1843,509,381,128,2.033088617100312,4.9253168,25.2428570
13,36085002900,526903.000000000000000,0.000000000000000,Census Tract 29,New York,Richmond County,4956,2152,1786,366,4.084243209850769,3.4626038,48.7233696
14,36085003300,852475.000000000000000,0.000000000000000,Census Tract 33,New York,Richmond County,3758,1449,1305,144,1.699756591102378,3.2616625,13.4095745
15,36085003600,409183.000000000000000,0.000000000000000,Census Tract 36,New York,Richmond County,3189,1006,946,60,2.458557662463983,9.9003773,25.5263157
16,36085003900,583060.000000000000000,0.000000000000000,Census Tract 39,New York,Richmond County,2319,1071,989,82,1.836860700442493,7.1958823,13.2110939
17,36085004700,895658.000000000000000,0.000000000000000,Census Tract 47,New York,Richmond County,3158,1076,932,144,1.201351408685011,5.6211715,2.9466264
